study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,c_f_e_,,[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[0.40257400000700727],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,_ar_e_,"parcel
",[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[6.822033900010865],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,c_s_,case,[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[2.789465100009693],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,b_na_a,banana,[-0.08571428571428572],[-0.29428571428571426],[1],[0],[0],[3.223137699998915],['text_3'],muskan,1,2023-10-03_14h20.07.525,Lab5,2023.1.3,60.18458612
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,proportion of hit,36,0.923076923,,,,,,,,,,
,,,proportion of non prime words,28,0.717948718,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,prime score,,0.205128205,,,,,,,,,,
