study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,p_nc_l,pencil,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[4.50301089999266],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,t_bl_,table,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[3.7894395000184886],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,_ou_se,mouse,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[7.8180832999933045],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,s_ho_l,school,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[3.5386214000172913],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,_o_s_,mouse,[0.041428571428571426],[-0.2985714285714286],[1],[0],[0],[8.517033099982655],['text_3'],kashvi,1,2023-10-03_14h28.16.052,Lab5,2023.1.3,60.08665698
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,proportion of hit,33,0.846153846,,,,,,,,,,
,,,proportion of non primed words,24,0.615384615,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,prime score,,0.230769231,,,,,,,,,,
